code,title,definition,landscape_ecological_context,synonyms,inclusions,exclusions,species,nvc_associations
g1a,Lowland dry acid,A grassland that meets at least two of these three criteria: 1. >12,"Typically occurs on nutrient-poor, generally free- draining sandy soils with a pH of 4–5.5 and that is overlying acid rocks or superficial deposits such as sands and gravels. It often occurs as an integral part of lowland heath landscapes, in parklands and locally on coastal cliffs. It is often found on commons at low altitudes, up to 300 m altitude on the moors of southwest England.",,"All acid grassland meeting the qualifying thresholds that is managed in functional enclosures. Acid grassland meeting the qualifying thresholds on road verges (see 801). Dry calcareous grasslands of the Breckland, north to the Norfolk coast, where Vulpia ciliata ssp. ambigua is a key component.","Acidic grassland in old and non-functional enclosures in the upland fringes, which are managed as free-range rough grazing in association with unenclosed tracts of upland (see g1b). Acidic grassland in functional enclosures that do not meet the qualifying thresholds (see g1d).","per m² (including grasses and excluding bryophytes); 2. >30% cover of broadleaved herbs and sedges (excluding White Clover Trifolium repens, Creeping Buttercup Ranunculus repens and injurious weeds); 3. <10% cover of rye grasses and White Clover Trifolium repens. AND ≥4 of these indicators are classed as ‘present’ on the DAFOR scale. AND ≥1 of these indicators are classed as ‘frequent’ on the DAFOR scale. AND ≥3 of these indicators are classed as ‘occasional’ on the DAFOR scale.g1a Indicator","This habitat type is often, but not exclusively, associated with the following NVC communities: U1-U4 (U5)."
g1a5,Inland dunes with open,Open formations found on inland dunes with dry siliceous soils. They are often,There is only one place in the UK where this habitat is found: Wangford Warren in Suffolk.,Annex 1: H2330 Inland dunes with open Corynephorus and Agrostis grasslands.,,,-poor and with a strong representation of annuals.,"This habitat type is often, but not exclusively, associated with the following NVC communities: Inland SD11, SD12."
g1a6,Other lowland dry acid,Lowland acid grassland that does not meet the,,,,,,
g1b,Upland acid grassland,"Acid grassland on uneclosed land in the uplands, normally above approximately 300 m in altitude.",,,"Montane acid grassland. Acid grassland in old and non-functional enclosures in the upland fringes, that are managed as free-range rough grazing in association with unenclosed tracts of upland.",,"The typical constituents of this habitat are Mat- grass Nardus stricta, Wavy Hair-grass Avenella flexuosa, Common Bent Agrostis capillaris, Sweet Vernal Grass Anthoxanthum odoratum, Common Wood-rush Luzula multiflora, Heath Bedstraw Galium saxatile, Tormentil Potentilla erecta and the mosses Springy Turf-moss Rhytidiadelphus squarrosus and Broom Moss Dicranum scoparium. The actual grassland type is defined by the dominant",
g1b5,Montane acid,"High montane heath habitats (moss, sedge and rush heaths) and snow bed communities, which are dominated by prostrate Willows Salix spp., Three-leaved Rush Juncus trifidus, Stiff Sedge Carex bigelowii, Racomitrium spp. and dwarf forb communities of Alpine Lady’s-mantle Alchemilla alpina, and Saxifraga spp..",,Annex 1: H6150 Siliceous Alpine and Boreal grassland.,Moss- and lichen-dominated heath of mountain summits.,,,"This habitat type is often, but not exclusively, associated with the following NVC communities: U7-U12, U14."
g1b6,Other upland acid,Acid grassland in the uplands that does not include montane heath (see g1b5).,,,,Moss- and lichen-dominated heath of mountain summits (see g1b5).,,
g1c,Bracken,Land with Bracken Pteridium aquilinum at >95% canopy cover at the height of the growing season.,,,,"Scattered patches of Bracken or Bracken patches of <0.04 ha, which are included in the broad habitat type with which they are associated (see 12). Bracken under forest or woodland canopy, which are included in w1 or w2 (see 12).","Bracken Pteridium aquilinum is always dominant. Heath Bedstraw Galium saxatile, Common Bent Agrostis capillaris, Sweet Vernal-grass Anthoxanthum odoratum, Bilberry Vaccinium myrtillus and the bryophytes Dicranum scoparium, Pleurozium schreberi, Pseudoscleropodium purum and Rhytidiadelphus squarrosus may also be frequent under the bracken.",
g1d,Other lowland acid,"Lowland acid grassland that does not meet the definitions of g1a, g1b or g1c.",,,Lowland acid grassland that meets the criteria for waxcap grassland (see 130).,,Rushes Juncus spp. may be abundant or dominant (see 15) in wet (but not waterlogged) situations.,
g2,Calcareous grassland,"Vegetation dominated by grasses and herbs on shallow, well-drained soils that are rich in bases (principally calcium carbonate) formed by the weathering of chalk and other types of limestone or base-rich rock.","Although the base-status of such soils is usually high, with a pH of ≥6, it may also be more moderate, and calcareous grassland communities can occur on soils with a pH as low as 5.",Calcicolous grasslands. Chalk grasslands. Limestone grasslands.,,,"On dry ground examples include: Lady’s Bedstraw Galium verum, Quaking Grass Briza media, Carline Thistle Carlina vulgaris, Stemless Thistle Cirsium acaule, Salad Burnet Poterium sanguisorba, Blue Moor-grass Sesleria caerulea, Rock-rose Helianthemum nummularium, Meadow Thistle Cirsium dissectum, Flea Sedge Carex pulicaris, Glaucous Sedge Carex flacca, Carnation Sedge Carex panicea, Broad-leaved Cottongrass Eriophorum latifolium, Fragrant Orchid Gymnadenia conopsea. On wetter ground Bottle Sedge Carex rostrata, Dioecious Sedge Carex dioica, Black Bog Rush Schoenus nigricans may be present. In montane areas Mountain Avens Dryas octopetala is typical.",
g2a,Lowland calcareous,A grassland that meets at least two of these three criteria: 1. >15,"Found on calcareous soils over chalk and limestone in the lowlands and upland fringe, generally <300 m in altitude. They are largely restricted to the warmer and drier climates of the southern and eastern areas of the UK.",,Calcareous grassland that meets the qualifying thresholds around Morecambe Bay in Cumbria or on roadside verges.,Calcareous grassland in functional enclosures that do not meet the qualifying thresholds (see g2c). Calcareous grassland in the unenclosed uplands (see g2b). Calcareous grassland on the Pennines (see g2b). Heath false-brome Brachypodium pinnatum dominated grassland is unlikely to meet the criteria above unless there has been a long history of heavy grazing.,"per m² (including grasses and excluding bryophytes); 2. >30% cover of broadleaved herbs and sedges (excluding White Clover Trifolium repens, Creeping Buttercup Ranunculus repens and injurious weeds); 3. <10% cover of rye grasses and White Clover Trifolium repens. AND ≥2 of these indicators are classed as ‘frequent’ on the DAFOR scale. AND ≥3 of these indicators are classed as ‘occasional’ on the DAFOR scale. g2a Indicator",Close correspondence with the following NVC communities is a prerequisite for this habitat type: CG1-CG8 (CG9 in Scotland) although CG4 communities are unlikely to meet the core
g2a5,Dry grasslands and,Lowland semi-natural grasslands on calcareous soils.,,Annex 1: H6210 Semi-natural dry grasslands and scrubland facies on calcareous substrates [Festuco-Brometalia][lowland].,,,"Calcicoles are well represented, including Meadow Oat-grass Helictochloa pratensis, Quaking-grass Briza media, Common Rock-rose Helianthemum nummularium, Salad Burnet Poterium sanguisorba and Small Scabious Scabiosa columbaria. Calcareous grasslands on shallow, sharply-draining soils comprise open swards characterised by the frequency of Mouse-ear Hawkweed Pilosella officinarum, Wild Thyme Thymus drucei and annual or biennial",
g2a6,Dry grasslands and,Lowland semi-natural grasslands on calcareous soils with populations of specific rare and scarce orchids.,Restricted in the UK to parts of England.,Annex 1: H6210 Semi-natural dry grasslands and scrubland facies on calcareous substrates [Festuco-Brometalia] [important orchid sites].,,,"The specific rare or scarce orchids are Man Orchid Orchis anthropophora, Musk Orchid Herminium monorchis, Lizard Orchid Himantoglossum hircinum, Late Spider-orchid Ophrys fuciflora, Early Spider-orchid Ophrys sphegodes, Military Orchid Orchis militaris, Lady Orchid Orchis purpurea, Monkey Orchid Orchis simia and Burnt Orchid Neotinea ustulata.",
g2b,Upland calcareous,A grassland that meets at least two of these three criteria: 1. >15,"Mostly occur 250–300 m in altitude, but the habitat is also found within unenclosed moorland at lower elevations, and descends to sea level in northwest Scotland. Typically occur as components of habitat mosaics (including both calcicoles and acidophiles).",,,,"per m² (including grasses and excluding bryophytes); 2. >30% cover of broadleaved herbs and sedges (excluding White Clover Trifolium repens, Creeping Buttercup Ranunculus repens and injurious weeds); 3. <10% cover of rye grasses and White Clover Trifolium repens. AND ≥1 of these indicators are classed as at least ‘frequent’ on the DAFOR scale. AND ≥3 of these indicators are classed as at least ‘occasional’ on the DAFOR scale.","This habitat type is often, but not exclusively, associated with the following NVC communities: CG1, CG2, CG9-CG14 (above level of enclosure)."
g2b5,Alpine and subalpine,"Occurs on lime-rich soils and consists of short,","In the UK, this habitat occurs close to sea level, as well as at high altitude.",Annex 1: H6170 Alpine and subalpine calcareous grasslands.,,,"-rich mixtures of Mountain Avens Dryas octopetala, arctic-alpine cushion herbs such as Alpine Lady’s-mantle Alchemilla alpina, Alpine Bistort Bistorta vivipara and Moss Campion Silene acaulis, grasses and sedges.","This habitat type is often, but not exclusively, associated with the following NVC communities: CG1, CG2, CG9-CG14 (above level of enclosure)."
g2b6,Species-rich grassland,"Dry, herb-rich grassland in the uplands with Mat- grass Nardus stricta.","Tends to develop where there is flushing through base-rich strata on siliceous bedrock. Underlying rocks may include moderately base-rich metamorphic and igneous rocks. The soils may have an acidic pH, but pH can be variable. The grassland is typically heavily grazed.",Annex 1: H6230,,,-rich Nardus grassland on siliceous substrates in mountain areas.,"This habitat type is often, but not exclusively, associated with the following NVC communities: CG10-CG11."
g2b7,Dry grasslands and,Upland semi-natural grasslands on calcareous soils.,,Annex 1: H6210 Semi-natural dry grasslands and scrubland facies on calcareous substrates [Festuco-Brometalia][upland].,,,Key,
g2c,Other calcareous,A grassland with ≥2 indicators of calcareous grassland that does not meet the,"This habitat may be derived from lowland calcareous grassland (see g2a) or upland calcareous grassland (see g2b) following agricultural or other modification, or be in transition from modified grassland (see g4) or arable reversion (see 131) towards more",,,,"per m² (including grasses and excluding bryophytes); 2. >20% cover of broadleaved herbs and sedges (excluding White Clover Trifolium repens, Creeping Buttercup Ranunculus repens and injurious weeds); 3. <30% cover of rye grasses and White Clover Trifolium repens. Separately from the criteria above, a grassland with ≥2 indicators of calcareous grassland and that meets the criteria for waxcap grassland (see 130).",
g3,Neutral grassland,"Vegetation dominated by grasses and herbs on a range of neutral soils, usually with a pH of 4.5 – 6.5.","This habitat includes enclosed mesic hay meadows and pastures, together with a range of grasslands that are periodically inundated with water or permanently moist.",Mesotrophic grasslands.,,,These communities have few diagnostic indicator,
g3a,Lowland meadows,A neutral grassland that meets at least two of these three criteria: 1. >15,"Occur throughout the enclosed lowland landscapes of the UK, often on shallow slopes or level ground with relatively deep soils that is neither strongly acidic nor lime-rich. On many farms, the use of particular fields for grazing pasture and hay cropping changes over time, but the characteristic plant community may persist with subtle changes in floristic composition.",,"On floodplains, may overlap with the Priority Habitat coastal floodplain and grazing marsh (see 19)","Maritime grassland communities confined to coastal habitats (see s2a, 70). Anthoxanthum odoratum – Geranium sylvaticum grasslands (see g3b) and Molinia – Juncus pastures on waterlogged soils (see f2b).","m² (including grasses and excluding bryophytes); 2. >30% cover of broadleaved herbs and sedges (excluding White Clover Trifolium repens, Creeping Buttercup Ranunculus repens and injurious weeds); 3. <10% cover of rye grasses and White Clover Trifolium repens. AND EITHER ≥4 of these indicators at least ‘present’ on the DAFOR scale. OR ≥3 of these indicators at least ‘occasional’ on the DAFOR scale (but not limited to field corners or edges). g3a Indicator","Close correspondence with the following NVC communities is a prerequisite for this habitat type: MG4, MG5, MG8 (MG1c-e, MG2, MG7c)."
g3a5,Lowland hay meadows,,Seasonal flooding maintains an input of nutrients.,"Annex 1: H6510 Lowland hay meadows [Alopecurus pratensis, Sanguisorba officinalis].",,,-rich hay meadows on moderately fertile soils of river and tributary floodplains.,Close correspondence with the following NVC communities is a prerequisite for this habitat type: MG4.
g3a6,Other lowland,Neutral grassland that qualifies under the criteria specified for lowland meadows (g3a) but is not the floodplain Alopecurus pratensis - Sanguisorba officinalis vegetation community (see g3a5).,,,,,,"Close correspondence with the following NVC communities is a prerequisite for this habitat type: MG5, MG8 (MG1c-e, MG2, MG7c)."
g3b,"– as these will always be species-rich, by",". This code may be used for created (see 61, 62) and restored grasslands, as well as grasslands of long continuity (see 60).",,,,,The,
g3b5,Mountain hay,,"Confined to areas where non-intensive hay- meadow treatment has been applied in a sub- montane climate. They are most characteristic of brown earth soils on level to moderately sloping sites, 200–400 m in altitude. Typically found in isolated fields or groups of fields, but they are also recorded from river banks and road verges, and in woodland clearings. For the most part, they are in upland valleys in the north of England, with outliers in Scotland.",Annex 1: H6520 Mountain hay meadows.,,,"-rich mesophile hay meadows of the montane and sub-alpine levels, mostly >600 m in altitude.","Close correspondence with the following NVC communities is a prerequisite for this habitat type: MG3 (upland MG8). MG3 can often be found alongside MG8, U4, M26 or M10 (Stroh et al., 2019)."
g3c,Other neutral grassland,A neutral grassland that does not meet the,"This is a widespread and commonly encountered grassland of the lowlands that occurs on farmland and in built-up areas. Low input pastures, many verges of roads, paths, tracks, rivers and railways, and the edges of fields are likely to be this grassland. Land that is not farmed but is cut or mown annually often becomes this habitat.",,Many of the more,,"per m² (including forbs, grasses, sedges and rushes, and excluding bryophytes); 3. ≥1 grass",
g3c5,Arrhenatherum neutral,False Oat-grass Arrhenatherum elatius at least abundant but other tussocky grass,Lightly managed or unmanaged fields or road verges in lowland areas. The habitat is often associated with formerly disturbed sites.,,,,"such as Tall fescue Schedonorus arundinaceus, Couch Elymus repens, Cocksfoot Dactylis glomerata, Wood Small-reed Calamagrostis epigejos may be frequent to dominant. Total grass cover is usually 50-75%. Forbs <50% cover and associated with less fertile soil.","This habitat type is often, but not exclusively, associated with the following NVC communities: MG1."
g3c6,Lolium-Cynosurus,Neutral grassland with a mixture of grass,One of the neutral grassland types typical of well- drained permanent pastures and meadows in lowland areas.,,,,", including palatable grasses such as Perennial Rye- grass Lolium perenne and other grasses such as Crested Dog’s-tail Cynosurus cristatus and Sweet Vernal-grass Anthoxanthum odoratum.","This habitat type is often, but not exclusively, associated with the following NVC communities: MG6."
g3c7,Deschampsia neutral,Neutral grassland with Yorkshire Fog Holcus lanatus and Tufted Hair-grass Deschampsia cespitosa the dominant grass,One of the neutral grassland types typical of poorly-drained permanent pastures in lowland areas.,,,,.,"This habitat type is often, but not exclusively, associated with the following NVC communities: MG9."
g3c8,Holcus-Juncus neutral,Neutral grassland with Yorkshire Fog Holcus lanatus and Rushes Juncus spp. dominant.,One of the neutral grassland types typical of poorly-drained permanent pastures in lowland areas.,,,Purple moor-grass and rush pastures (see f2b).,"Frequent to dominant cover of Rushes Juncus spp., often with Yorkshire Fog Holcus lanatus. Creeping Bent Agrostis stolonifera and Creeping Buttercup Ranunculus repens are also constant","This habitat type is often, but not exclusively, associated with the following NVC communities: MG10."
g4,Modified grassland,,"This habitat is found in pastures that are used for intensive agricultural production. It is also found in amenity grassland in public parks, on sports pitches and on intensively managed verges. The vegetation normally covers almost 100% of the ground, but in over-grazed or poached pastures bare ground can occur, followed by more abundant broadleaf",,Hard-wearing mixtures of grasses on sports pitches and golf courses.,,-poor vegetation (<9,
h1,Dwarf shrub heath,Vegetation that has a >25% cover of plant,"Generally occurs on well-drained, nutrient-poor, acid soils. Heaths do occur on more basic soils, but these are more limited in extent and can be recognised by the presence of herbs characteristic of calcareous grassland (see g2~). This habitat occurs in both the lowlands and the uplands.",,Both dry and wet heath types. Dwarf-shrub-dominated vegetation in the montane zone.,Dwarf-shrub-dominated vegetation in which,"from the heath family (ericoids), Dwarf Gorse Ulex minor or Western Gorse Ulex gallii.",
h1a,Lowland Heathland,"A broadly open landscape on impoverished, acidic mineral and shallow peat soil, which is characterised by the presence of plants such as heathers and dwarf gorses, Crowberry Empetrum nigrum and grass","Generally found <300 m in altitude in the UK, but in more northerly latitudes the altitudinal limit is often lower. It can develop on drift soils and weathered flint beds over calcareous soils where it forms limestone or chalk heath. This is a dynamic habitat that undergoes significant changes in different successional stages, from bare ground (e.g. after burning or tree clearing) and grassy stages, to mature, dense heath.",,Small scale mosaic of patches dominated by dwarf shrubs and patches dominated by acid grassland (use 13 in combination with h1a or g1).,Grass-dominated areas with <25% dwarf shrub cover (see g1~).,such as Bristle Bent Agrostis curtisii and Sheep’s Fescue Festuca ovina.,
h1a5,Dry heaths – lowland,"Typically occur on freely-draining, acidic to circumneutral soils with generally low nutrient content. Ericaceous dwarf shrubs (Calluna vulgaris, Erica spp. and Ulex spp.) dominate the vegetation. Dry heaths vary widely in flora according to their location and are present across much of the UK. They may be differentiated from upland types (see h1b5) by",,Annex 1: H4030 European dry heaths [lowland].,,,"composition and from wet heath (see , h1a8, h1b6) by lack of Cross-leaved Heath Erica tetralix.",
h1a6,Dry coastal heaths with,Coastal heaths of temperate areas with Cornish Heath Erica vagans and Gorse Ulex europaeus on well-drained soil.,"Found in the UK only on the Lizard peninsula, on soils derived from serpentine.",Annex 1: H4040 Dry Atlantic coastal heaths with Erica vagans.,,,"The vegetation is typically dominated by mixtures of Cornish heath Erica vagans and gorse Ulex europaeus, with smaller amounts of western gorse Ulex gallii and bell heather Erica cinerea. Associated",
h1a7,Wet heathland with,Heathland on lowland sites with impeded drainage. Often in transitional communities between other heath and bog habitats.,,Annex 1: H4010 Northern Atlantic wet heaths with Erica tetralix [lowland].,,,"Includes Cross-leaved Heath Erica tetralix, Deergrass Trichophorum cespitosum and Bog- mosses Sphagnum spp.. Impoverished swards may be dominated by Purple Moor-grass Molinia caerulea.","This habitat type is often, but not exclusively, associated with the following NVC communities: H5, M14-M16."
h1a8,Wet heathland with,"Hygrophilous heaths of areas with a temperate oceanic climate, on semi-peaty or dried-out soils, with surface minerals in the case of peaty soils (hydromor).",Found only in six sites in the UK – all in Dorset and Cornwall.,Annex 1: H4020 Temperate Atlantic wet heaths with Erica ciliaris and Erica tetralix.,,,"Contains Heather Calluna vulgaris and Bell Heather Erica cinerea, as well as Dorset Heath Erica ciliaris and Cross-leaved Heath Erica tetralix.",
h1b,Upland Heathland,"Heathland vegetation that occurs widely on mineral soils and thin peats throughout the uplands and moorlands of the UK. It is characterised by the presence of dwarf shrubs at a cover of ≥25%. Defined as lying below the alpine or montane zone (at about 600–750 m) and usually above the upper edge of enclosed agricultural land (generally at around 250–400 m, but descending to near sea level in northern Scotland).",,,Thin peat is defined as <30 cm in depth in England.,Dwarf-shrub vegetation >25% cover on deep peat (see f1a~). Heathland below the limit of agricultural enclosure (see h1a~).,Ericoid,
h1b5,Dry heaths – upland,"European dry heaths typically occur on freely- draining, acidic to circumneutral soils with generally low nutrient content.",,Annex 1: H4030 European dry heaths [upland].,,,"Ericaceous dwarf shrubs (Heather Calluna vulgaris, Heaths Erica spp. and Gorse Ulex spp.) dominate the vegetation. This habitat also contains Bilberry Vaccinium spp. and Crowberry Empetrum nigrum.",
h1b6,Wet heathland with,"Heathland on upland sites with impeded drainage, often in transitional communities between other heath and bog habitats.",,Annex 1: H4010 Northern Atlantic wet heaths with Erica tetralix [upland].,,Dwarf-shrub vegetation >25% cover on deep peat (see f1a~). Heathland below the limit of agricultural enclosure (see h1a~).,"Include Cross-leaved Heath Erica tetralix, Deergrass Trichophorum cespitosum and Bog- mosses Sphagnum spp.. Impoverished swards may be dominated by Purple Moor-grass Molinia caerulea.","This habitat type is often, but not exclusively, associated with the following NVC communities: H5, M14-M16."
h1c,Mountain heaths and,"Encompasses a range of natural or near-natural vegetation that occurrs in the montane zone, above the natural treeline.","Found mostly >600 m in altitude, but in the northwest Highlands and Scottish islands they occur down to 300 m or, in places, even lower. Some of the types are characteristic of exposed ridges and summits; others are restricted to sheltered situations where snow lies late. They are typically maintained by cool, windy conditions, low temperatures, extreme wind exposure, prolonged snow cover, freeze-thaw and/or nutrient-poor (acid or calcareous) thin soils.",,"Dwarf shrub heaths, grass heaths, dwarf herb communities, willow scrub and snow bed communities.",,,
h1c5,Alpine and subalpine,"Small, dwarf or prostrate shrub formations of the alpine and sub-alpine zones that are dominated by ericaceous",,Annex 1: H4060 Alpine and boreal heaths. Dryas heaths of the British Isles and Scandinavia.,,,"and others such as Mountain Avens Dryas octopetala, Dwarf Junipers Juniperus spp., Brooms Cytisus spp. or Greenweeds Genista spp..",
h1c6,Mountain willow scrub,"Sub-Arctic and boreo-alpine Willow Salix spp. formations of the Scottish Highlands, found on moist base-rich soils on rocky mountains.","The largest continuous stand of this very local habitat type is about 0.5 ha in extent, and most stands are very much smaller.",Annex 1: H4080 Sub-Arctic Salix spp. scrub.,,,"Include Downy Willow Salix lapponum, Whortle- leaved Willow Salix myrsinites, Mountain Willow Salix arbuscula and Woolly Willow Salix lanata.",
h2,Hedgerows,"Lines of shrubs that have the base of their leafy canopies ≤2 m in height from the ground, so that the woody linear feature as a whole appears as a ‘shrubby’ hedgerow, even though some of the woody","In rural areas, hedgerows were primarily used as stock-proof boundaries around fields, although many now also have wire fencing. In urban areas, hedgerows mainly perform a landscaping or garden boundary function.",,"An earth bank or wall, only where such a feature occurs in association with the hedgerow. Any bank, wall, ditch, tree or herbaceaous vegetation that is <2 m from the hedgerow centre. Gaps between trees and shrubs that are <20 m. Tall lines of connected shrubs that remain in a management cycle and allowed to grow tall before being laid.","Shrubby components that are >5 m wide at the base (see h3~). Woody linear features comprising trees without a shrub layer, even where showing signs of historic management (see 33 or 34). Habitat features of trees that are collectively >5 m wide at the base (see w~).",in it are capable of growing into trees. Hedges in good condition have the base of their leafy canopies ≤0.5 m from the ground.,
h2a,Native hedgerow,A hedgerow with >80% canopy cover of UK native or archaeophyte woody,,,Archaeophytes are,"Climbers such as Honeysuckle Lonicera periclymenum and Bramble Rubus fruticosus agg. are recognised as integral to many hedgerows; however they require other woody plants to be present to form a distinct woody boundary feature, and as such they are not included in the",.,
h2a5,Species-rich native,"Native hedgerows with ≥5 (or ≥4 in northern and eastern England, upland Wales and Scotland) UK- native or archaeophyte woody",,,Archaeophytes are,,in a 30 m section.,
h2a6,Other native hedgerow,"Native hedgerows with ≤4 (or ≤3 in northern and eastern England, upland Wales and Scotland) UK- native or archaeophyte woody",,,Archaeophytes are,,in a 30 m section.,
h2b,Non-native and,A hedgerow with >20% canopy cover of UK non- native woody,,,Ornamental beech hedgerows. Recently introduced,,.,
h3,Dense scrub,Patches of shrubs that are <5 m in height with continuous (>75%) cover.,,,Patches with occasional trees that are >5 m in height (see 32). Tree,"Patches with shrub cover <75% (see 10). Hedgerows (see h2~). Coppice (see 210). Coppice-with-standards (see 211). Recently felled woodland (see 206). Natural box scrub (see w1c8). Carr (see w1d). Mountain Willow Salix spp. scrub (see h1c6). See also 17, s3a4 and t2a8.",that are <5 m in height. Coastal scrub. Scattered Sea-buckthorn Hippophae rhamnoides scrub on dunes (see h3c~).,
h3a,Blackthorn scrub,Dense scrub with Blackthorn Prunus spinosa dominant.,,,,,,
h3a5,West coast blackthorn,"Dense scrub with Blackthorn Prunus spinosa dominant, on the west coast and exposed upland areas.","Often forms very dense, windswept patches in exposed situations. The bushes often take the growth form of ‘flags’.",,,,,
h3a6,Other blackthorn scrub,Dense scrub with Blackthorn Prunus spinosa dominant in unexposed areas.,"Often found on derelict or unmanaged land, such as railway embankments and cuttings, or in hollows on downland.",,,,,
h3b,Hazel scrub,Dense scrub with Hazel Corylus avellana dominant.,,,,,,
h3b5,Atlantic hazel,"Hazel- Corylus avellana dominated temperate rainforest that occurs on the hyperoceanic western fringe of Europe, in particular on the west coasts of Scotland and Ireland. It is considered to be a type of climax scrub.",,,Use 25 (‘Temperate rainforest’) as part of a combined code.,,"Atlantic hazelwoods are home to some of the richest assemblages of oceanic mosses, liverworts and lichens found in the whole of Europe.",
h3b6,Other hazel scrub,Dense scrub with Hazel Corylus avellana dominant.,,,,Hazel on the west coast of the UK (see h3b5).,,
h3c,Sea-buckthorn scrub,Dense scrub with Sea-buckthorn Hippophae rhamnoides dominant.,,,,,,
h3c5,Dunes with sea-,"Dense scrub on sand dunes, with Sea-buckthorn Hippophae rhamnoides dominant.","Restricted to a few sites in North Norfolk, Lincolnshire and Lancashire.",Annex 1: H2160 Dunes with Hippophae rhamnoides.,,,,
h3c6,Other sea-buckthorn,Coastal banks with Sea-buckthorn Hippophae rhamnoides. The,,,,,is also widely planted inland.,
h3d,Bramble scrub,Dense scrub with Bramble Rubus fruticosus agg. dominant.,,,,,,
h3e,Gorse scrub,Dense scrub with European Gorse Ulex europaeus dominant.,,,,Stands of Dwarf Gorse Ulex minor or Western Gorse Ulex gallii.,,
h3f,Hawthorn scrub,Dense scrub with Hawthorn Crataegus monogyna dominant.,,,,,,
h3g,Rhododendron scrub,"Dense scrub with Rhododendron Rhododendron ponticum dominant as the canopy layer, but not in the understorey.",,,Dense stands of Cherry Laurel Prunus laurocerasus.,,,
h3h,Mixed scrub,Dense scrub comprising a mixture of,,,,,without a single,
h3j,Willow scrub,Dense scrub with Willow Salix spp. dominant.,,,,,,
h3k,Juniper scrub,Dense scrub with Juniper Juniperus communis dominant.,,,"Juniper Juniperus communis stands that could be regarded as woodland, based on height.",Juniper Juniperus communis on sand dunes (see s3a4).,,
r1,Standing open water and,"Natural systems such as lakes, meres and pools, as well as human-made waters such as reservoirs, canals, drainage ditches, ponds and gravel pits.","Usually classified according to their nutrient status, and this can change naturally over time or as a result of pollution. There are three main types of standing waters: oligotrophic (nutrient-poor), eutrophic (nutrient-rich) and mesotrophic (intermediate). These types exist along an environmental gradient and intermediate types occur. Other types of standing water include dystrophic (highly acidic, peat-stained water), marl lakes, brackish-water lakes, turloughs and other temporary water bodies.",,"The open water zone (which may contain submerged, free-floating or floating-leaved vegetation). Water-fringe inundation vegetation. Ditches with open water for at least the majority of the year with limited flow, often with water control structures such as sluices.",Coastal saline lagoons (see t2g5). Marginal emergent vegetation that is >5 m wide. Mappable adjacent wetland or wet woodland habitat.,,
r1a,Eutrophic standing,"Water bodies ≥2 ha that are highly productive because plant nutrients are plentiful, either naturally or as a result of artificial enrichment. They are characterised by algal blooms and dark anaerobic mud and are rich in organic matter.","Most typical in hard water areas of the lowlands of southern and eastern Britain, but they also occur in the north and west, especially near the coast.",,Natural and artificial lakes (see 43). Reservoirs (see 45). Flooded gravel pits.,"Ponds (see 40, 41, 42). Brackish waters.","In naturally enriched water bodies, typically include Common Reed Phragmites australis or Bulrush Typha spp., and beds of floating-leaved",
r1a5,Naturally nutrient-rich,"Lakes with mostly dirty grey to blue-green, more or less turbid, waters that are particularly rich in dissolved bases (pH usually >7).","Have moderately high background nutrient levels, resulting in higher natural productivity than other lakes, and they are typically",Annex 1: H3150 Natural eutrophic lakes with Magnopotamion or Hydrocharition-type vegetation.,,,"-rich. They are typically found within catchments with sedimentary rocks in unglaciated south and east lowlands, such as the Norfolk and Suffolk Broads, as well as the Shropshire and Cheshire meres. However, there are scattered sites across England, Wales, Scotland and Northern Ireland.",
r1a6,Other eutrophic,Eutrophic standing waters >2ha that meet the,,,Ornamental lakes. Flooded gravel pits.,,,
r1b,Mesotrophic lakes,"Lakes in the middle of the trophic range that are characterised by having a narrow range of nutrients, the main indicative ones being inorganic nitrogen (N) and total phosphorus (P).","Relatively infrequent in the UK and largely confined to the margins of upland areas in the north and west. Typically, mesotrophic lakes have nutrient levels of 0.3–0.65 mgNl-1 and 0.01–0.03 mgPl-1. While such levels simplify the complex interaction between plant nutrients and the hydrological and physical characteristics of individual lakes (for instance, virtually all available nutrients are ‘locked up’ in algae during the growing season), they serve to show the sensitivity of the trophic state to artificially increased levels of nitrogen and phosphorus. Thus, this is an increasingly rare type of lake.",,,,,
r1b5,Calcium-rich nutrient-,"Hard-water, low-nutrient systems whose ecology is driven by dense lawns of Stoneworts Chara spp. that usually cover muddy marl (calcium carbonate) deposits. They are characterised by a high pH and very clear water.",,Chara Lakes. Annex 1: H3140 Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,,,,
r1c,Oligotrophic and,Water bodies that are mainly >2 ha in size and characterised by their low nutrient levels and low productivity.,"Their catchments usually occur on hard acid rocks, most often in the uplands. This habitat type encompasses a wide range of sizes and depths, and includes the largest and deepest water bodies in the UK. Oligotrophic lakes usually have very clear water, while some examples with dystrophic characteristics have peat-stained waters. Good examples may support some of the least disturbed aquatic assemblages in the UK.",,,,"Characteristic plankton, zoobenthos, macrophyte and fish communities occur, including several restricted",
